grCode	en	abbreviation	el	otherName
13.01.02.02.001	Haemoglobin subtypes HbA2,HbC,HbF,HbS,etc.(excl. HbA1)		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΚΑΙ ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΧΡΩΜΑΤΟΓΡΑΦΙΑ ΥΨΗΛΗΣ ΠΙΣΤΟΤΗΤΑΣ (πχ, Α2, S, C, F)	
13.01.02.20.001	Cellulose acetate electrophoresis Hb		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΣΕ ΤΑΙΝΙΑ ΟΞΕΙΚΗΣ ΚΥΤΤΑΡΙΝΗΣ	
13.01.02.21.001	Electrophoresis Hb by Isoelectric focusing (IEF)		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΜΕ ΙΣΟΗΛΕΚΤΡΙΚΗ ΕΣΤΙΑΣΗ	
13.01.02.22.001	Agar gel electrophoresis Hb		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΣΕ ΤΑΙΝΙΑ ΑΓΑΡΟΖΗΣ	
13.01.02.23.001	Capillary zone electrophoresis Hb		ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΜΕ ΤΕΧΝΙΚΗ ΤΡΙΧΟΕΙΔΙΚΗΣ ΗΛΕΚΤΡΟΦΟΡΗΣΗΣ	
13.01.02.24.001	Test for unstable haemoglobin		ΔΟΚΙΜΑΣΙΑ ΓΙΑ ΑΣΤΑΘΕΙΣ ΑΙΜΟΣΦΑΙΡΙΝΕΣ	
13.01.02.25.001	Stained preparations for Heinz Bodies		ΔΟΚΙΜΑΣΙΑ ΓΙΑ ΣΩΜΑΤΙΑ HEINZ, ΑΜΕΣΗ ΧΡΩΣΗ	
13.01.02.26.001	Heinz Bodies after incubation with acetylphenylhydrazine		ΔΟΚΙΜΑΣΙΑ ΓΙΑ ΣΩΜΑΤΙΑ HEINZ, ΕΠΑΓΟΜΕΝΗ ΧΡΩΣΗ ΜΕ ΑΚΕΤΥΛΟΦΑΙΝΥΛΥΔΡΑΖΙΝΗ	
13.01.02.27.001	Globin chain synthesis rates		ΒΙΟΣΥΝΘΕΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ (α- ΚΑΙ β- ΑΛΥΣΕΙΣ)	
13.01.02.28.001	Osmotic fragility of RBCs		ΩΣΜΩΤΙΚΗ ΑΝΤΙΣΤΑΣΗ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΧΩΡΙΣ ΕΠΩΑΣΗ	
13.01.02.29.001	Osmotic fragility of RBCs after incubation		ΩΣΜΩΤΙΚΗ ΑΝΤΙΣΤΑΣΗ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΜΕ ΕΠΩΑΣΗ	
13.01.02.30.001	Qualitative solubility test for HbS		ΔΟΚΙΜΑΣΙΑ ΔΡΕΠΑΝΩΣΕΩΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ (TEST ΔΙΑΛΥΤΟΤΗΤΑΣ)	
13.01.02.31.001	Oxygen dissociation curve of Hb		ΚΑΜΠΥΛΗ ΚΟΡΕΣΜΟΥ Ο2-ΑΙΜΟΣΦΑΙΡΙΝΗΣ	
13.01.02.32.001	Demostration of carboxyhaemoglobin		ΑΝΘΡΑΚΥΛΑΙΜΟΣΦΑΙΡΙΝΗ, ΠΟΣΟΤΙΚΗ	
13.01.02.33.001	Determination of carboxyhaemoglobin		ΑΝΘΡΑΚΥΛΑΙΜΟΣΦΑΙΡΙΝΗ, ΠΟΙΟΤΙΚΗ	
13.01.02.34.001	Demostration of sulphaemoglobin		ΘΕΙΑΙΜΟΣΦΑΙΡΙΝΗ, ΠΟΙΟΤΙΚΗ	
13.01.02.35.001	Mesurment of sulphaemoglobin		ΘΕΙΑΙΜΟΣΦΑΙΡΙΝΗ, ΠΟΣΟΤΙΚΗ	
13.01.02.36.001	Screening method for methaemoglobin		ΜΕΘΑΙΜΟΣΦΑΙΡΙΝΗ, ΠΟΙΟΤΙΚΗ	
13.01.02.37.001	Mesurment of methaemoglobin		ΜΕΘΑΙΜΟΣΦΑΙΡΙΝΗ, ΠΟΣΟΤΙΚΗ	
13.01.02.38.001	Estimation of HbF by methods of ΒETKE or JONXIS		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΜΒΡΥΪΚΗΣ ΑΙΜΟΣΦΑΙΡΙΝΗΣ F ΚΑΤΑ BETKE Η JONXIS	
13.01.02.39.001	Screening for HbF		ΑΝΙΧΝΕΥΣΗ ΕΜΒΡΥΪΚΗΣ ΑΙΜΟΣΦΑΙΡΙΝΗΣ F	
13.01.02.90.900	Other Haemoglobin (Types) Testing		ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ (ΠΛΗΝ ΜΟΡΙΑΚΩΝ) ΓΙΑ ΤΟΝ ΕΛΕΓΧΟ ΤΩΝ ΑΙΜΟΣΦΑΙΡΙΝΟΠΑΘΕΙΩΝ	
13.01.03.02.001	May-Grünwald-Giemsa stain blood smear (manually)		ΧΡΩΣΗ ΚΑΙ ΜΕΛΕΤΗ ΕΠΙΧΡΙΣΜΑΤΟΣ ΑΙΜΑΤΟΣ ΜΕ MAY GRÜNWALD-GIEMSA (ΧΕΙΡΟΚΙΝΗΤΗ)	
13.01.03.02.002	May-Grünwald-Giemsa stain bone marrow aspiration		ΧΡΩΣΗ ΚΑΙ ΜΕΛΕΤΗ ΕΠΙΧΡΙΣΜΑΤΟΣ ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ ΜΕΤΑ ΑΝΑΡΡΟΦΗΣΗ ΜΕ MAY GRÜNWALD-GIEMSA	
13.01.03.02.003	May-Grünwald-Giemsa stain blood smear (automated)		ΧΡΩΣΗ ΚΑΙ ΜΕΛΕΤΗ ΕΠΙΧΡΙΣΜΑΤΟΣ ΑΙΜΑΤΟΣ ΜΕ MAY GRÜNWALD-GIEMSA (ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ)	
13.01.03.20.001	Neutrophil Alkaline Phosphatase stain	NAP -s	ΑΛΚΑΛΙΚΗ ΦΩΣΦΑΤΑΣΗ ΟΥΔΕΤΕΡΟΦΙΛΩΝ (ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ)	Leukocyte Alkaline Phosphatase (LAP)
13.01.03.21.001	Tartrate-resistant Leukocyte Acid Phosphatase stain	TRAP-s	ΟΞΙΝΗ ΦΩΣΦΑΤΑΣΗ ΑΝΘΕΚΤΙΚΗ ΣΤΟ ΤΡΥΓΙΚΟ ΟΞΥ (ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ)	
13.01.03.22.001	Acid Phosphatase Leukocyte stain	APL-s	ΟΞΙΝΗ ΦΩΣΦΑΤΑΣΗ (ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ)	
13.01.03.23.001	Periodic Acid-Schiff stain	PAS-s	PERIODIC ACID-SCHIFF, PAS (ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ)	
13.01.03.24.001	a-Napthyl Acetate Esterase stain	ANAE-s	ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΜΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ ΜΕ ΥΠΟΣΤΡΩΜΑ A-NAPTHYL ACETATE	
13.01.03.25.001	a-Naphthyl Βutyrate esterase stain	ANBE-s	ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΜΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ ΜΕ ΥΠΟΣΤΡΩΜΑ A-NAPHTHYL ΒUTYRATE	
13.01.03.26.001	a-Naphthol AS-D chloroacetate esterase	CAE-s	ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ ΜΕ ΥΠΟΣΤΡΩΜΑ A-NAPHTHOL AS-D CHLOROACETATE	
13.01.03.27.001	a-Napthyl Acetate Esterase with NaF stain	ANAE-NaF-s	ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΜΗ ΕΙΔΙΚΗΣ ΕΣΤΕΡΑΣΗΣ ΜΕ ΥΠΟΣΤΡΩΜΑ A-NAPTHYL ACETATE ΠΑΡΟΥΣΙΑ NAF	
13.01.03.28.001	Leukocyte Peroxidase Stain	MPO-s	ΜΥΕΛΟΫΠΕΡΟΞΕΙΔΑΣΗ (ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ)	
13.01.03.29.001	Sudan Black b stain	SBB-s	SUDAN BLACK B (ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ)	
13.01.03.30.001	Potassium ferrocyanide iron stain	Iron-s	ΚΥΤΤΑΡΟΧΗΜΙΚΗ ΧΡΩΣΗ ΣΙΔΗΡΟΚΥΑΝΙΟΥΧΟΥ ΚΑΛΙΟΥ ΓΙΑ ΧΡΩΣΗ ΣΙΔΗΡΟΥ	Iron stain
13.01.03.90.900	Other Haematology Stains for Microscopy		ΑΛΛΕΣ ΚΥΤΤΑΡΟΧΗΜΙΚΕΣ ΧΡΩΣΕΙΣ ΣΤΗΝ ΑΙΜΑΤΟΛΟΓΙΑ	
13.01.09.01.001	Glucose-6-phosphate dehydrogenase (G-6-PD)	G-6-PD	ΑΦΥΔΡΟΓΟΝΑΣΗ ΤΗΣ 6-ΦΩΣΦΟΡΙΚΗΣ ΓΛΥΚΟΖΗΣ	
13.01.09.01.002	Screnning test for glucose-6-phosphate dehydrogenase deficiency (Screen G-6-PD)	G-6-PD Screen	ΔΟΚΙΜΑΣΙΑ ΔΙΑΛΟΓΗΣ ΓΙΑ ΤΗΝ ΑΝΕΠΑΡΚΕΙΑ ΤΗΣ ΑΦΥΔΡΟΓΟΝΑΣΗΣ ΤΗΣ 6-ΦΩΣΦΟΡΙΚΗΣ ΓΛΥΚΟΖΗΣ	
13.01.09.01.003	Pyuvate Kinase		ΠΥΡΟΣΤΑΦΥΛΙΚΗ ΚΙΝΑΣΗ	
13.01.09.01.004	Glucose Phosphate Isomerase		ΓΛΥΚΟΖΟ-ΙΣΟΜΕΡΑΣΗ	
13.01.09.01.005	Pyrimidine-5-Nucleotidase		ΠΙΡΙΜΙΔΙΝΟ-5-ΝΟΥΛΕΟΤΙΔΑΣΗ	
13.01.09.01.006	Phosphoglycerate Kinase		ΦΩΣΦΟΓΛΥΚΕΡΙΝΙΚΗ ΚΙΝΑΣΗ	
13.01.09.01.007	Triosephosphate isomerase		ΤΡΙΟΖΟΦΩΣΦΟΡΙΚΗ ΙΣΟΜΕΡΑΣΗ	
13.01.09.01.008	Hexokinase		ΕΞΟΚΙΝΑΣΗ	
13.01.09.01.009	Glutathione		ΓΛΟΥΤΑΘΕΙΟΝΗ	ΓΛΟΥΤΑΘΕΙΟ
13.01.09.01.010	GSH synthetase		ΣΥΝΘΕΤΑΣΗ ΤΗΣ ΓΛΟΥΤΑΘΕΙΟΝΗΣ	ΣΥΝΘΕΤΑΣΗ ΤΟΥ ΓΛΟΥΤΑΘΕΙΟΥ
13.01.09.01.011	Glutathione reductase		ΑΝΑΓΩΓΑΣΗ ΤΗΣ ΓΛΟΥΤΑΘΕΙΟΝΗΣ	ΑΝΑΓΩΓΑΣΗ ΤΟΥ ΓΛΟΥΤΑΘΕΙΟΥ
13.01.09.01.012	2,3-Diphosphoglycerate	2,3-DPG	2,3-ΔΙΦΩΣΦΟΓΛΥΚΕΡΙΝΙΚΟ ΟΞΥ	
13.01.09.11.001	Erythrocyte Sedimentation Rate Test (automated)	ESR (auto)	ΤΑΧΥΤΗΤΑ ΚΑΘΙΖΗΣΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ (ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΗ)	
13.01.09.11.002	Erythrocyte Sedimentation Rate Test (manually)	ESR	ΤΑΧΥΤΗΤΑ ΚΑΘΙΖΗΣΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ (ΧΕΙΡΟΚΙΝΗΤΗ)	
13.01.09.20.001	Determination of Red Blood Cells Membrane Protein		ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΡΩΤΕΙΝΩΝ ΜΕΜΒΡΑΝΗΣ ΕΡΥΘΡΟΚΥΤΤΑΡΟΥ	
13.01.09.21.001	Acidfied-serum test (Ham test)	ΗΑΜ TEST	ΔΟΚΙΜΑΣΙΑ ΛΥΣΕΩΣ ΕΡΥΘΡΟΚΥΤΤΑΡΩΝ ΣΕ ΟΞΙΝΙΣΘΕΝΤΑ ΟΡΟ (HAM TEST)	
13.01.09.22.001	Sucrose lysis test	SUCROSE TEST	ΔΟΚΙΜΑΣΙΑ ΣΟΥΚΡΟΖΗΣ (SUCROSE LYSIS TEST)	
13.01.09.90.900	Other Haematology tests		ΔΙΑΦΟΡΕΣ ΑΛΛΕΣ ΔΟΚΙΜΑΣΙΕΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΑΙΜΑΤΟΛΟΓΙΑ	
13.01.70.03.001	Haematocrit	HCT	ΑΙΜΑΤΟΚΡΙΤΗΣ	ΜΙΚΡΟΑΙΜΑΤΟΚΡΙΤΗΣ
13.01.70.90.900	Other Rapid Haematology Tests		ΑΛΛΕΣ ΤΑΧΕΙΕΣ ΜΕΘΟΔΟΙ ΑΙΜΑΤΟΛΟΓΙΑΣ	
13.02.01.01.001	Prothrombin time (Quick Test, INR)	PT	ΧΡΟΝΟΣ ΠΡΟΘΡΟΜΒΙΝΗΣ, INR, (%)	
13.02.01.02.001	Activated Partial Thromboplastin Time	APTT	ΕΝΕΡΓΟΠΟΙΗΜΕΝΟΣ ΧΡΟΝΟΣ ΜΕΡΙΚΗΣ ΘΡΟΜΒΟΠΛΑΣΤΙΝΗΣ	
13.02.01.03.001	Thrombin Time	TT	ΧΡΟΝΟΣ ΘΡΟΜΒΙΝΗΣ	
13.02.01.03.002	Reptilase Time		ΧΡΟΝΟΣ ΡΕΠΤΙΛΑΣΗΣ	
13.02.01.04.001	Clotting Time (Lee White method)	CT	XΡΟΝΟΣ ΠΗΞΗΣ ΚΑΤΑ LEE WHITE	
13.02.01.20.001	Bleeding time (Ivy method)	BT-Ivy	ΧΡΟΝΟΣ ΡΟΗΣ ΚΑΤΑ IVY	
13.02.01.90.900	Other Global Coagulation Tests		ΑΛΛΕΣ ΒΑΣΙΚΕΣ ΔΟΚΙΜΑΣΙΕΣ ΑΙΜΟΣΤΑΣΗΣ	
13.02.02.01.001	Fibrinogen Assays (Factor I)	FIB	ΙΝΩΔΟΓΟΝΟ	
13.02.02.02.001	Coagulation factor II (Prothrombin) activity	F II	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ ΙΙ (ΠΡΟΘΡΟΜΒΙΝΗ)	
13.02.02.03.001	Coagulation factor IIa (Thrombin) activity	F IIa	ΔΡΑΣΤΙΚΟΤΗΤΑ ΕΝΕΡΓΟΠΟΙΗΜΕΝΟΥ ΠΑΡΑΓΟΝΤΑ ΙΙ (ΘΡΟΜΒΙΝΗ)	
13.02.02.04.001	Coagulation factor V activity	F V	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ V	
13.02.02.05.001	Coagulation factor VII activity	F VII	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ VII	
13.02.02.06.001	Coagulation factor VIIa activity	F VIIa	ΔΡΑΣΤΙΚΟΤΗΤΑ ΕΝΕΡΓΟΠΟΙΗΜΕΝΟΥ ΠΑΡΑΓΟΝΤΑ VIΙ	
13.02.02.07.001	Coagulation factor VIII activity	F VIII	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ VIII	
13.02.02.08.001	Coagulation factor IX activity	F IX	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ IX	
13.02.02.09.001	Coagulation factor X activity	F X	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ X	
13.02.02.11.001	Coagulation factor XI activity	F XI	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ XI	
13.02.02.12.001	Coagulation factor XII activity	F XII	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ XII	
13.02.02.13.001	Coagulation factor XIIa activity	F XIIa	ΔΡΑΣΤΙΚΟΤΗΤΑ ΕΝΕΡΓΟΠΟΙΗΜΕΝΟΥ ΠΑΡΑΓΟΝΤΑ XIΙ	
13.02.02.14.001	Coagulation factor XIII activity	F XIII	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ XIII	
13.02.02.17.001	Coagulation factor HMW-Kininogen (Fitzgerald)	HMWK	ΔΡΑΣΤΙΚΟΤΗΤΑ ΥΨΗΛΟΥ ΜΟΡΙΑΚΟΥ ΒΑΡΟΥΣ ΚΙΝΙΝΟΓΟΝΟΥ	
13.02.02.18.001	Coagulation factor von Willebrand Activity	vWF	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ VON WILLEBRAND	
13.02.02.19.001	Prekallikrein / Kallikrein (Fletcher factor)		ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΡΟΚΑΛΛΙΚΡΕΪΝΗΣ	
13.02.02.21.001	Coagulation factor von Willebrand Activity / Ristocetin Cofactor	vWF(RiCof)	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ VON WILLEBRAND ΜΕ ΣΥΜΠΑΡΑΓΟΝΤΑ ΡΙΣΤΟΣΕΤΙΝΗ (RICOF)	
13.02.02.22.001	Coagulation factor von Willebrand Collagen Binding Assay	vWF(CBA)	ΔΡΑΣΤΙΚΟΤΗΤΑ ΠΑΡΑΓΟΝΤΑ VON WILLEBRAND ΜΕ ΕΛΕΓΧΟ ΤΗΣ ΔΕΣΜΕΥΣΗΣ ΤΟΥ ΚΟΛΛΑΓΟΝΟΥ (CBA)	
13.02.02.23.001	Coagulation factor V		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ V	
13.02.02.24.001	Coagulation factor VII		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VII	
13.02.02.25.001	Coagulation factor VIII		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VIII	
13.02.02.26.001	Coagulation factor IX		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ IX	
13.02.02.27.001	Coagulation factor X		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ X	
13.02.02.28.001	Coagulation factor XIII		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ XIII	
13.02.02.29.001	Coagulation von Willebrand factor		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ VON WILLEBRAND	
13.02.02.30.001	Coagulation factor ΙΙ		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ ΙΙ	
13.02.02.31.001	Coagulation factor XΙ		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ XΙ	
13.02.02.32.001	Coagulation factor XΙΙ		ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΤΟΥ ΠΑΡΑΓΟΝΤΑ XΙΙ	
13.02.02.33.001	Electrophoresis Separated von Willebrand Factor Multimers		ΑΝΑΛΥΣΗ ΠΟΛΥΜΕΡΩΝ ΠΑΡΑΓΟΝΤΑ VON WILLEBRAND (ΗΛΕΚΤΡΟΦΟΡΗΣΗ ΠΟΛΥΜΕΡΩΝ)	
13.02.02.90.900	Other Coagulation Factors		ΕΠΙΠΡΟΣΘΕΤΟΙ ΠΡΟΣΔΙΟΡΙΣΜΟΙ ΠΑΡΑΓΟΝΤΩΝ ΠΗΞΗΣ	
